Team,AverageValue,Points,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,AverageResult,Predicted Points
Juventus,16.88,90,100.15,90,90,90,90,100.14,85.78,96.96,96.61,90,90,108.9,95.74,90,88.78,90,90,90,90,90,92,92
SSC Napoli,10.99,79,79,79,69.58,69.39,69.39,79,79,74.11,75.09,70.99,69.95,79,74.32,66.48,79,72.72,79,79,70.37,79,74.87571429,74
Atalanta,3.27,69,69,44.85,41.97,47.85,69,69,69,69,69,42.65,41.44,69,69,41.4,69,69,69,44.74,69,40.52,59.16285714,59
Inter,11.13,69,69,70.59,69,69.78,69,69,71.21,69,69,71.51,69,82.84,74.83,69,71.22,69,69,69,69,69,70.38,70
AC Milan,13.32,68,85.66,68,77.91,68,68,85.01,68,83.15,83.61,79.55,78.56,92.77,82.79,68,68,80.02,79.32,79.65,78.88,68,76.70857143,77
AS Roma,8.7,66,66.86,62.62,61.39,63.01,66,65.38,65.05,66,66,66,61.5,71.83,66,59.04,63.8,65.55,64.88,66,62.01,66,64.80571429,65
Torino,3.61,63,46.15,45.92,63,63,63,43.76,63,63,63,43.9,42.7,63,47.48,42.5,48.25,63,48.96,45.92,43.42,63,53.76,53
Lazio,6.94,59,59.7,59,55.09,59,57.95,59,59,58.39,60.3,59,55,59,59,53.32,58.42,59,59,59,59,54.31,58.11809524,58
Sampdoria,3.3,53,44.89,53,42.07,53,47.67,42.44,53,44.27,47,53,53,47.36,53,41.49,53,53,47.99,44.84,42.29,40.63,48.09238095,48
Bologna,2.4,44,44,44,38.85,44,45.12,38.62,44,40.78,44,44,44,43.28,43.08,44,44,44,44,44,39,37.25,42.76095238,42
Sassuolo,3.15,43,44.3,43,41.54,43,47.24,43,50.98,43.69,46.45,43,43,43,45.81,43,43,48.17,43,44.32,43,40.07,44.0747619,44
Udinese Calcio,3.24,43,43,44.7,41.86,47.8,43,42.19,43,44.04,43,42.54,43,43,46.14,41.3,47.12,43,43,44.63,43,40.41,43.46333333,43
SPAL,1.64,42,42,39.45,42,43.34,42.98,35.39,42,37.83,42,36.67,42,39.84,42,36.1,42,42,42,42,36.23,42,40.56333333,41
Parma  ,1.05,41,41,41,41,41,41,41,45.66,41,38.78,41,33.24,41,41,41,41,41.6,40.96,37.03,41,32.18,40.16428571,40
Cagliari Calcio,2.86,41,43.1,43.46,41,41,46.42,41,50.25,41,41,41,39.93,40.47,41,41,45.96,47.27,46.62,41,40.68,38.98,42.53047619,43
Fiorentina,5.03,41,51.93,50.58,41,52.79,41,41,55.75,41,53.32,41,47.94,55.2,41,41,52.59,54.06,41,41,41,41,46.00761905,46
Genoa,1.78,38,38.7,39.91,36.64,43.73,43.37,35.99,38,38,41.45,37.18,38,38,38,38,38,38,43.24,39.56,36.74,34.92,38.7347619,39
FC Empoli  ,1.13,38,38,38,38,38,41.54,33.22,45.78,35.85,38,34.79,33.54,38,38.47,34.44,40.68,41.85,41.21,38,34.37,32.48,37.7247619,38
Frosinone  ,1.56,25,25,25,25,43.12,25,25,46.95,25,40.06,36.37,25,39.47,25,25,25,25,42.55,38.8,25,25,30.34857143,30
Chievo Verona,1.03,17,17,37.45,17,41.64,41.25,17,45.61,17,17,17,17,17,38.1,34.12,40.37,41.54,40.9,36.96,17,17,27.85428571,28
