Problem,Good,Best,Bad,Excellent,Sound,Durable,Quality,Perfect,Fit
1,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,1,1
0,0,0,0,0,1,1,1,0,1
0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,1,0,0,1,1
0,0,1,0,1,1,1,0,0,0
0,0,0,0,0,1,0,1,0,1
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1
0,0,0,0,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,1
0,1,0,0,0,0,0,1,1,1
0,0,1,0,1,1,1,1,1,1
0,0,0,0,1,0,0,1,0,0
0,0,0,0,1,1,0,1,0,0
0,0,0,0,1,0,0,1,0,0
0,1,0,0,0,1,1,0,0,0
0,1,0,0,0,1,1,1,1,1
0,0,0,0,1,1,0,1,0,1
0,0,0,1,1,1,0,1,0,0
1,0,0,0,0,0,1,0,0,0
1,1,0,0,0,1,0,1,0,0
0,0,1,0,0,0,0,1,0,1
0,1,0,1,0,1,0,1,0,0
1,0,0,0,1,1,0,0,0,1
1,1,0,0,0,1,1,0,1,1
1,1,0,0,0,0,0,0,1,1
0,0,0,1,1,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,1,1,1,0,1,0,0
1,0,0,0,1,1,1,0,0,0
